view,feature,class_label,models_in_configured_panel,models_with_complete_core_matrix,models_meeting_portable_subcriterion,final_portable_criterion_evaluable,final_portable_criterion_met,final_status
deterministic_crop,clipping_fraction,0,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,clipping_fraction,1,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,cpp_proxy_db,0,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,cpp_proxy_db,1,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,crest_factor_db,0,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,crest_factor_db,1,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,f0_delta_hz,0,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,f0_delta_hz,1,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,f0_iqr_hz,0,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,f0_iqr_hz,1,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,f0_median_hz,0,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,f0_median_hz,1,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,frame_rms_cv,0,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,frame_rms_cv,1,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,frame_rms_range_db,0,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,frame_rms_range_db,1,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,group_delay_var,0,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,group_delay_var,1,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,hnr_db,0,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,hnr_db,1,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,inst_freq_dispersion,0,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,inst_freq_dispersion,1,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
deterministic_crop,integrated_lufs,0,8,0,0,False,False,not_evaluable_requires_all_5_core_datasets
