dataset,label,source_id,sample_id,selection_rank,selection_key_sha256
ASVspoof2019_LA,0,LA_E_7131679,LA_E_7131679,1,000748377755e55c5c0233907c14799799dfd1b0a410fb4a1ff6bb0294a56649
ASVspoof2019_LA,0,LA_E_7617702,LA_E_7617702,2,0018b55be3c7f75106adb9a2739183df021819869b032e24faa0acfc25a52aa7
ASVspoof2019_LA,0,LA_E_6525488,LA_E_6525488,3,0033751f49481ee7ad68fd299da69d5e400f351016879e317400eee371ba4df8
ASVspoof2019_LA,0,LA_E_5512063,LA_E_5512063,4,003436dbded7711bc2da68f315db20184fc6b89f71084c5c0c6b59b1698cad4c
ASVspoof2019_LA,0,LA_E_2703077,LA_E_2703077,5,00372321d5625d045020b95d4623d6f3962da4e7f734bc30a463a8be04ea7283
ASVspoof2019_LA,0,LA_E_9654017,LA_E_9654017,6,0051aafa36658500dcff5fb5c1d0ce1e2207a5afd9193a2d1cd6ccc44a40a365
ASVspoof2019_LA,0,LA_E_5009955,LA_E_5009955,7,0052479c98fde77ab0398853ef330aeb2cea70652e86101f92f91522334a650f
ASVspoof2019_LA,0,LA_E_8656179,LA_E_8656179,8,006c9fd6b8a68bfdd3cdaa72ef258f6747fbde1569c02f513fd27650e655b4f3
ASVspoof2019_LA,0,LA_E_9266777,LA_E_9266777,9,008296192a20f8cc54c8d7bb522a32200a67a8758dd8530d797e9fff3f8058ce
ASVspoof2019_LA,0,LA_E_5786977,LA_E_5786977,10,008c9ab05c9d0a7ed319f6f732233aa80ce79f40ff18d5100ac9d639ac6b014d
ASVspoof2019_LA,0,LA_E_1296064,LA_E_1296064,11,009b962f7351814d0302d9feeca8567e524848dccc06737a6a85bf6446dbee1f
ASVspoof2019_LA,0,LA_E_2004431,LA_E_2004431,12,009e248054661d0130f68d566a2a9d815b25a98260e31ef432b813f8c527f94e
ASVspoof2019_LA,0,LA_E_6147431,LA_E_6147431,13,00a2ec7c88235331d61afac5a32ad6e76e258d75a237cfabc31b5a16150a9679
ASVspoof2019_LA,0,LA_E_4923188,LA_E_4923188,14,00a3f779c39ff980b3a19ccdd9c549aaacf23500b5234c3fab5945d7f2350688
ASVspoof2019_LA,0,LA_E_1137577,LA_E_1137577,15,00b7f114af7e0d6f6dcfe2eef80d22421bd8a2ea83522763e772612028148677
ASVspoof2019_LA,0,LA_E_8144651,LA_E_8144651,16,00c341500eb4bd8c653c93342941d84ac21e09a4b00ac0ee60f00b7790e81c43
ASVspoof2019_LA,0,LA_E_9812793,LA_E_9812793,17,00d743c37af1c559e8d15c1496d65ac4af0084bfdb09660d89608c2bded66738
ASVspoof2019_LA,0,LA_E_8393035,LA_E_8393035,18,00ea78e818cd53576db99a7327b618379c81417f82f76364888f4d4b29f8caba
ASVspoof2019_LA,0,LA_E_5251243,LA_E_5251243,19,00eee0b6a6fdf2702e93070f9973b3d029b2603966cfb9550f27048422e77942
ASVspoof2019_LA,0,LA_E_9655155,LA_E_9655155,20,00f2a637797066f724666904e1db74098f475d809f6488f50fd272e04a6b6332
ASVspoof2019_LA,0,LA_E_9655738,LA_E_9655738,21,00f44a7d0de028c2261dad9870620893256f8430f15f534b8fc7d408786fcbc1
ASVspoof2019_LA,0,LA_E_2954058,LA_E_2954058,22,00f91a21ace7985c21f402df035dc215136549410445a2ceafa2397233cd4731
ASVspoof2019_LA,0,LA_E_1601873,LA_E_1601873,23,010002c2ad1243f64c0a30a5ed90fecce0000ed6d9acc51a8be5a34e2beecbfb
ASVspoof2019_LA,0,LA_E_9195064,LA_E_9195064,24,01041f040833cfb387db6d20626783a66b734bf97bebe64e1782fffe6c77fd21
ASVspoof2019_LA,0,LA_E_2601033,LA_E_2601033,25,01276f13e5e264502c4d0f7fa6f695531d3988c338edf8135fd45962b583c7a7
ASVspoof2019_LA,0,LA_E_8353705,LA_E_8353705,26,0134af24b255486ef2e7d8b4deeb1a96f29035de6953397a79c404c67ab0cb29
ASVspoof2019_LA,0,LA_E_2514376,LA_E_2514376,27,013731840960bd117ab2e1c9b92c6e1eda92216696dde52a3bc21358fe88c258
