manifest_schema_version,dataset_revision,selection_seed,selection_rule,sample_id,source_id,label
1,9492c4a85ad91508b6da03c92c98c58aeaa02424,2609,stratified_fixed_64_per_label_pandas_random_state_seed_plus_label,LA_E_1219410,LA_E_1219410,0
1,9492c4a85ad91508b6da03c92c98c58aeaa02424,2609,stratified_fixed_64_per_label_pandas_random_state_seed_plus_label,LA_E_1409473,LA_E_1409473,0
1,9492c4a85ad91508b6da03c92c98c58aeaa02424,2609,stratified_fixed_64_per_label_pandas_random_state_seed_plus_label,LA_E_1428234,LA_E_1428234,0
1,9492c4a85ad91508b6da03c92c98c58aeaa02424,2609,stratified_fixed_64_per_label_pandas_random_state_seed_plus_label,LA_E_1528765,LA_E_1528765,0
1,9492c4a85ad91508b6da03c92c98c58aeaa02424,2609,stratified_fixed_64_per_label_pandas_random_state_seed_plus_label,LA_E_1792942,LA_E_1792942,0
1,9492c4a85ad91508b6da03c92c98c58aeaa02424,2609,stratified_fixed_64_per_label_pandas_random_state_seed_plus_label,LA_E_2388256,LA_E_2388256,0
1,9492c4a85ad91508b6da03c92c98c58aeaa02424,2609,stratified_fixed_64_per_label_pandas_random_state_seed_plus_label,LA_E_2406410,LA_E_2406410,0
1,9492c4a85ad91508b6da03c92c98c58aeaa02424,2609,stratified_fixed_64_per_label_pandas_random_state_seed_plus_label,LA_E_2488762,LA_E_2488762,0
1,9492c4a85ad91508b6da03c92c98c58aeaa02424,2609,stratified_fixed_64_per_label_pandas_random_state_seed_plus_label,LA_E_2568277,LA_E_2568277,0
1,9492c4a85ad91508b6da03c92c98c58aeaa02424,2609,stratified_fixed_64_per_label_pandas_random_state_seed_plus_label,LA_E_2732747,LA_E_2732747,0
1,9492c4a85ad91508b6da03c92c98c58aeaa02424,2609,stratified_fixed_64_per_label_pandas_random_state_seed_plus_label,LA_E_3025774,LA_E_3025774,0
1,9492c4a85ad91508b6da03c92c98c58aeaa02424,2609,stratified_fixed_64_per_label_pandas_random_state_seed_plus_label,LA_E_3246561,LA_E_3246561,0
1,9492c4a85ad91508b6da03c92c98c58aeaa02424,2609,stratified_fixed_64_per_label_pandas_random_state_seed_plus_label,LA_E_3320076,LA_E_3320076,0
1,9492c4a85ad91508b6da03c92c98c58aeaa02424,2609,stratified_fixed_64_per_label_pandas_random_state_seed_plus_label,LA_E_3447697,LA_E_3447697,0
1,9492c4a85ad91508b6da03c92c98c58aeaa02424,2609,stratified_fixed_64_per_label_pandas_random_state_seed_plus_label,LA_E_3677482,LA_E_3677482,0
1,9492c4a85ad91508b6da03c92c98c58aeaa02424,2609,stratified_fixed_64_per_label_pandas_random_state_seed_plus_label,LA_E_3677626,LA_E_3677626,0
1,9492c4a85ad91508b6da03c92c98c58aeaa02424,2609,stratified_fixed_64_per_label_pandas_random_state_seed_plus_label,LA_E_3739591,LA_E_3739591,0
